fra;jour;clage_90;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-03-07;0;0;0;0;1.16814431707847;0.143038079642262
FR;2020-03-08;0;0;0;0;1.30224251674309;0.174327659564007
FR;2020-03-09;0;0;0;0;1.628548135927;0.236906819407496
FR;2020-03-10;0;0;0;0;1.95187379511836;0.287566139280797
FR;2020-03-11;0;0;0;0;2.40780767397807;0.35163527912056
FR;2020-03-12;0;0;0;0;2.89354115276325;0.43507415891188
FR;2020-03-13;0;0.0968486997577814;2.88013133279679;0.454443898863436;3.572972031064;0.528942898677114
FR;2020-03-14;0;0.13409819966462;3.58787183102673;0.612381778468433;4.27773256930139;0.686880778282111
FR;2020-03-15;0;0.208597199478298;4.42077064894365;0.800119257998902;5.13000112716987;0.893987997764136
FR;2020-03-16;0;0.315875759209995;5.69321356576127;1.09513529726107;6.58571158352914;1.23668339690705
FR;2020-03-17;0;0.45593387885971;7.03568554240375;1.41250103646734;7.95500320010454;1.56894893607606
FR;2020-03-18;0;0.573642298565321;8.67615351830094;1.70155715574441;9.66401025583031;1.84161527539412
FR;2020-03-19;0;0.737540098155412;10.5326685936578;2.17090085457058;11.606944170971;2.31989885419793
FR;2020-03-20;0;0.893987997764136;12.712509328206;2.68196399329241;14.0147518449491;2.82053213294585
FR;2020-03-21;0;1.0876853972797;14.3231777041777;3.04700909237943;15.8191176204364;3.24219647189127
FR;2020-03-22;0;1.33502207666111;15.9517258401047;3.43291391141428;17.7993010354839;3.70707023072862
FR;2020-03-23;0;1.59725855600526;18.4668120738145;4.01996602994607;21.3007540267268;4.51463938870889
FR;2020-03-24;0;1.86992489532332;20.8686598278075;4.50718948872752;24.155555699587;5.15831074709907
FR;2020-03-25;0;2.23794995440289;23.4373853413831;5.12404120718477;27.4409615913702;5.87350114531037
FR;2020-03-26;0;2.60448503348618;25.8839324952643;5.59636486600349;30.6712382232912;6.59763142349932
FR;2020-03-27;0;3.01720949245396;28.5375868686275;6.0522987448632;34.4215178739118;7.36944106156903
FR;2020-03-28;0;3.42695399142919;30.2793734842713;6.42479374393159;36.4940800487283;7.94904328011944
FR;2020-03-29;0;3.71303015071371;31.192731221987;6.65276068336145;38.4340340038765;8.48245611878538
FR;2020-03-30;0;4.09893496974856;32.031589959889;6.73321960316022;41.9503867950821;9.24830583686999
FR;2020-03-31;0;4.45504018885794;32.7438003981078;6.86731780282484;43.8858708102414;9.86366757533097
FR;2020-04-01;0;4.77985582804558;32.7795599180183;6.80026870299253;45.7289760656318;10.2972517542466
FR;2020-04-02;0;5.01974260744562;32.2744566992816;6.55591198360366;47.0118488424234;10.6026976534827
FR;2020-04-03;0;5.30134882674133;31.0973725022255;6.24152620438994;48.5495081985777;10.8753639928007
FR;2020-04-04;0;5.41458730645812;30.0752462247818;5.87946106529547;48.1442336395913;10.8485443528678
FR;2020-04-05;0;5.61126466596623;28.6999946882213;5.49951616624571;48.2783318392559;10.8917537727597
FR;2020-04-06;0;5.63808430589915;27.4215918514186;5.08977166727048;50.4239030338898;11.0929010722567
FR;2020-04-07;0;5.57848510604821;26.0791198747761;4.62936784842195;49.8621805752947;10.9871124925212
FR;2020-04-08;0;5.40117748649166;24.5489104186032;4.18386382953616;49.5567346760586;10.8366245128976
FR;2020-04-09;0;5.36094802659227;23.6117130009471;3.84265841038951;49.580574355999;10.6578269133448
FR;2020-04-10;0;5.17470052705807;22.3303302041518;3.47016341132112;49.5492847760773;10.3985703939932
FR;2020-04-11;0;5.09871154724812;21.3871728665107;3.21537683195834;48.4407396588497;10.0290553549173
FR;2020-04-12;0;4.87223458781454;21.1294063271554;3.07978865229745;48.4466995788348;9.93220665515955
FR;2020-04-13;0;4.69492696825799;19.1104834322047;2.75795297310236;48.8489941778287;9.88303731528252
FR;2020-04-14;0;4.6040381884853;18.039187814884;2.56723553357934;49.7698018155257;9.85472769535333
FR;2020-04-15;0;4.58317846853747;17.2062889969671;2.42121749394454;48.4317997788721;9.44945313636692
FR;2020-04-16;0;4.39842094899955;16.1722428795532;2.31393893421284;47.5288719011303;9.15443709710475
FR;2020-04-17;0;4.32541192918214;15.3900033815096;2.18282069454077;46.9775793025091;8.74171263813698
FR;2020-04-18;0;4.15853416959951;14.5213450436821;2.13365135466374;45.1836433869957;8.32153827918783
FR;2020-04-19;0;4.03933576989762;13.6780163657913;1.98316337504011;44.8290281478826;8.2053198394785
FR;2020-04-20;0;3.90374759023673;13.752515365605;1.9384639751519;45.7379159456095;8.20978977946732
FR;2020-04-21;0;3.71750009070253;13.1297037271626;1.78350605553945;44.5667916685385;7.77322564055916
FR;2020-04-22;0;3.5223127111907;12.2491255493649;1.70006717574813;43.5789349310091;7.45436992135662
FR;2020-04-23;0;3.38076461154471;11.3596074915896;1.53914933615059;42.7385862131108;7.15786390209818
FR;2020-04-24;0;3.16471751208504;10.3941004540044;1.46912027632573;41.7984088354622;6.84943804286956
FR;2020-04-25;0;2.99932973249868;9.8279080554204;1.34396195663875;40.1519809395799;6.514192543708
FR;2020-04-26;0;2.85927161284896;9.44051325638928;1.28883269677663;39.8808045802581;6.42628372392786
FR;2020-04-27;0;2.74156319314335;8.8758108378016;1.1890040370263;40.4916963787303;6.42777370392414
FR;2020-04-28;0;2.6149148934601;8.19786993949713;1.11748499720517;39.0762153822704;6.01057930496754
FR;2020-04-29;0;2.45846699385137;7.7091565007194;1.02957617742503;37.832082085382;5.71705324570165
FR;2020-04-30;0;2.33777861415322;7.24875268187087;0.98785673752937;36.8814748477594;5.47716646630161
FR;2020-05-01;0;2.15004113462275;6.46800316382352;0.891008037771589;35.0756190922759;5.16874060707298
FR;2020-05-02;0;2.0174329149544;6.24301618438622;0.865678377834938;35.0026100724585;5.09126164726676
FR;2020-05-03;0;1.92952409517426;6.02696908492655;0.823958937939279;34.8551020528274;5.02272256743817
FR;2020-05-04;0;1.83118541542021;5.56358530608547;0.768829678077157;35.1918375319852;4.97951314754624
FR;2020-05-05;0;1.72241687569224;5.27601916680468;0.770319658073431;33.8568154553241;4.71876664819837
FR;2020-05-06;0;1.68218741579285;4.96759330757605;0.721150318196403;32.6558915783276;4.38501112903309
FR;2020-05-07;0;1.54510925613568;4.62042796844431;0.674960938311923;31.4683775212976;4.13916442964795
FR;2020-05-08;0;1.52871947617667;4.37905120904799;0.65708117835664;29.8666490253035;3.89927765024791
FR;2020-05-09;0;1.48551005628474;4.22260330943927;0.640691398397631;29.7310608456426;3.84414839038578
FR;2020-05-10;0;1.40654111648224;4.14363436963677;0.63175151841999;29.6640117458103;3.80093897049385
FR;2020-05-11;0;1.29330263676545;3.92311733018828;0.601951918494518;29.8919786852402;3.77411933056093
FR;2020-05-12;0;1.2456232768847;3.64449107088513;0.552782578617491;28.8206830679195;3.50443295123541
FR;2020-05-13;0;1.1666543370822;3.44781371137702;0.521492998695746;27.7270377506547;3.29434577176084
FR;2020-05-14;0;1.11450503721262;3.23772653190245;0.496163338759096;26.780900453021;3.10958825222292
FR;2020-05-15;0;1.05341585736541;3.31967543169749;0.487223458781454;25.8347631553873;2.97400007256203
FR;2020-05-16;0;1.0087164574772;3.1781273320515;0.451463938870889;24.6740687382902;2.79073253302038
FR;2020-05-17;0;0.996796617507012;3.07829867230118;0.411234478971503;24.520600798674;2.74156319314335
FR;2020-05-18;0;0.978916857551729;2.97847001255085;0.421664338945418;24.7157881781858;2.77434275306137
FR;2020-05-19;0;0.965507037585267;2.80563233298311;0.390374759023673;23.7204815406751;2.57021549357189
FR;2020-05-20;0;0.929747517674701;2.66259425334085;0.371005019072117;22.7251749031643;2.42717741392963
FR;2020-05-21;0;0.932727477667249;2.42121749394454;0.323325659191363;21.4944514262424;2.26625957433209
FR;2020-05-22;0;0.885048117786495;2.3273487541793;0.317365739206268;21.5808702660262;2.2543397343619
FR;2020-05-23;0;0.847798617879656;2.25284975436562;0.315875759209995;20.8820696477739;2.16196097459294
FR;2020-05-24;0;0.768829678077157;2.15451107461157;0.317365739206268;20.7941608279938;2.1247114746861
FR;2020-05-25;0;0.74498999813678;2.00700305498049;0.290546099273344;20.9118692476994;2.13067139467119
FR;2020-05-26;0;0.688370758278385;1.88929463527487;0.292036079269618;20.0208612099278;2.04127259489478
FR;2020-05-27;0;0.658571158352914;1.79542589550964;0.281606219295703;19.1954122919923;1.92952409517426
FR;2020-05-28;0;0.630261538423716;1.77456617556181;0.289056119277071;18.4310525539039;1.81926557545002
