date,total_cas_confirmes,total_deces_hopital,total_deces_ehpad,total_cas_confirmes_ehpad,total_cas_possibles_ehpad,patients_reanimation,patients_hospitalises,total_patients_gueris,nouveaux_patients_hospitalises,nouveaux_patients_reanimation
4/19/2020,112606,12069,7649,23048,40288,5744,30610,36578,890,137
4/20/2020,114657,12513,7752,23668,40726,5683,30584,37409,1464,208
4/21/2020,117324,12900,7896,,,5433,30106,39181,1885,190
4/22/2020,119151,13236,8104,25513,,5218,29741,40657,1619,183
4/23/2020,120804,13547,8309,26840,37379,5053,29219,42088,1410,178
4/24/2020,122577,13852,8393,27880,37251,4870,28658,43493,1346,155
4/25/2020,124114,14050,8564,29126,37374,4725,28222,44594,999,124
4/26/2020,124575,14202,8654,29643,37525,4682,28217,44903,481,79
4/27/2020,128339,14497,8796,30227,37503,4608,28055,45513,964,125
4/28/2020,129859,14810,8850,30817,39076,4387,27484,46886,1321,153
4/29/2020,128442,15053,9034,31795,,4207,26834,48228,1070,110
4/30/2020,129581,15244,9132,32355,,4019,26283,49476,1048,121
5/1/2020,130185,15369,9225,32791,,3878,25887,50212,668,73
5/2/2020,130979,15487,9273,33271,,3827,25827,50562,453,64
5/3/2020,131287,15583,9312,33361,,3819,25815,50784,345,80
5/4/2020,131863,15826,9375,33791,,3696,25548,51371,689,84
5/5/2020,132967,16060,9471,34108,,3430,24775,52736,987,111
5/6/2020,137150,16237,9572,34507,,3147,23983,53972,833,69
5/7/2020,137779,16386,9601,34653,,2961,23208,55027,728,99
5/8/2020,138421,16497,9733,34890,,2868,22724,55782,510,89
5/9/2020,138854,16573,9737,35046,,2812,22614,56038,265,38
5/10/2020,139063,16642,9738,35236,,2776,22569,56217,253,38
5/11/2020,139519,16820,9823,35195,,2712,22284,56724,523,82
5/12/2020,140227,17003,9988,35437,,2542,21595,57785,670,92
5/13/2020,140734,17101,9973,35604,,2428,21071,58673,543,69
5/14/2020,141356,17224,10201,35820,,2299,20463,59605,542,52
5/15/2020,141919,17342,10187,36126,,2203,19861,60448,438,64
5/16/2020,142291,17412,10213,36175,,2132,19432,61066,350,46
5/17/2020,142411,17466,10642,36461,,2087,19361,61213,152,24
5/18/2020,142903,17589,10650,36599,,1998,19015,61728,375,38
5/19/2020,143427,17714,10308,36530,,1894,18468,62563,506,69
5/20/2020,143845,17812,10320,36751,,1794,17941,63354,432,43
5/21/2020,144163,17870,10345,36853,,1745,17583,63858,271,28
5/22/2020,144556,17944,10345,36853,,1701,17383,64209,263,36
5/23/2020,144806,17987,10345,36853,,1665,17178,64547,233,30
5/24/2020,144921,18022,10345,36853,,1655,17185,64617,121,24
5/25/2020,145279,18112,10345,36853,,1609,16798,65199,342,45
5/26/2020,145555,18260,10335,37235,,1555,16264,65879,318,37
5/27/2020,145746,18260,10336,37235,,1501,15680,66584,271,32
5/28/2020,149071,18326,10336,37235,,1429,15208,67191,253,36
5/29/2020,149668,18387,10327,37273,,1361,14695,67803,255,29
5/30/2020,151496,18444,10327,37273,,1325,14380,68268,227,29
5/31/2020,151753,18475,10327,37273,,1319,14322,68355,72,18
6/1/2020,152091,18506,10327,37273,,1302,14288,68440,89,9
6/2/2020,151325,18590,10350,37405,,1253,14028,68812,229,33
6/3/2020,151677,18671,10350,37405,,1210,13514,69455,250,26
6/4/2020,152444,18715,10350,37405,,1163,13101,69976,195,23
6/5/2020,153055,18761,10350,37405,,1094,12696,70504,213,19
6/6/2020,153634,18792,10350,37405,,1059,12479,70806,143,15
6/7/2020,153977,18805,10350,37405,,1053,12461,70842,37,4
6/8/2020,154188,18859,10350,37405,,1024,12315,71062,145,23
6/9/2020,154591,18912,10384,37599,,955,11961,71506,169,15
6/10/2020,155136,18935,10384,37599,,933,11678,71832,130,23
6/11/2020,155561,18962,10384,37599,,903,11465,72149,143,26
6/12/2020,156287,18990,10384,37599,,879,11124,72572,136,18
6/13/2020,156813,19014,10384,37599,,871,10909,72808,68,14
6/14/2020,157220,19023,10384,37599,,869,10881,72859,33,6
6/15/2020,157372,19052,10384,37599,,846,10752,73044,114,12
6/16/2020,157716,19090,10457,37901,,820,10535,73335,143,14
6/17/2020,158174,19118,10457,37901,,772,10267,73667,116,14
6/18/2020,158641,19146,10457,37901,,752,10125,73887,136,15
6/19/2020,159452,19160,10457,37901,,727,9970,74117,116,10
6/20/2020,160093,19176,10457,37901,,715,9837,74312,90,7
6/21/2020,160377,19183,10457,37901,,715,9823,74372,48,5
6/22/2020,160750,19206,10457,37901,,701,9693,74612,142,16
6/23/2020,161267,19232,10488,37995,,682,9491,74871,117,15
6/24/2020,161348,19243,10488,37995,,658,9299,75127,97,8
6/25/2020,161348,19264,10488,37995,,651,9141,75351,124,15
6/26/2020,162936,19290,10488,37995,,634,8886,75649,87,15
6/27/2020,163454,19290,10488,37995,,634,8886,75649,55,9
6/28/2020,163980,19290,10488,37995,,634,8886,75649,44,4
6/29/2020,164260,19325,10488,37995,,619,8688,75999,102,15
6/30/2020,164801,19346,10497,38107,,602,8536,76274,152,8
7/1/2020,165719,19364,10497,38107,,582,8336,76549,106,17
7/2/2020,166378,19378,10497,38107,,573,8148,76802,93,12
7/3/2020,166960,19396,10497,38107,,560,7990,77060,125,12
7/4/2020,167711,19388,NaN,38107,,517,7863,77160,47,4
7/5/2020,168159,19390,NaN,38107,,521,7863,77179,21,5
7/6/2020,168335,19423,10497,38107,,548,7850,77319,98,10
7/7/2020,168810,19457,10476,39256,,538,7594,77655,127,21
7/8/2020,169473,19489,10476,39256,,529,7297,77996,83,18
7/9/2020,170094,19503,10476,39256,,512,7177,78170,79,8
7/10/2020,170752,19528,10476,39256,,496,7062,78388,136,9
7/11/2020,171504,19514,10476,39256,,470,6995,78454,57,7
7/12/2020,172089,19515,10476,39256,,473,6991,78486,26,5
7/13/2020,172377,19553,10476,39256,,492,6983,78597,68,10
7/14/2020,172888,19539,10476,39256,,465,6907,78670,61,7
7/15/2020,173304,19579,10541,39464,,482,6915,78820,133,16
7/16/2020,173838,19597,10541,39464,,481,6796,79036,119,23
7/17/2020,174674,19611,10541,39464,,477,6688,79244,119,17
7/18/2020,175639,19599,10541,39464,,450,6614,79322,68,6
7/19/2020,176404,19600,10541,39464,,448,6583,79384,36,4
7/20/2020,176754,19636,10541,39464,,467,6589,79541,137,18
7/21/2020,177338,19649,10516,39554,,455,6482,79734,109,12
7/22/2020,178336,19656,10516,39554,,445,6366,79957,132,17
7/23/2020,179398,19666,10516,39554,,436,5957,80472,123,13
7/24/2020,180528,19676,10516,39554,,410,5720,80815,126,16
7/25/2020,181636,19664,10516,39554,,368,5634,80915,86,8
7/26/2020,182565,19665,10516,39554,,367,5640,80947,36,1
7/27/2020,183079,19693,10516,39554,,398,5655,81082,118,25
7/28/2020,183804,19708,10515,39638,,385,5551,81311,172,22
7/29/2020,185196,19723,10515,39638,,380,5450,81500,118,14
7/30/2020,186573,19739,10515,39638,,381,5375,81667,116,14
7/31/2020,187919,19750,10515,39638,,371,5298,81881,152,16
8/1/2020,189547,19736,10515,39638,,344,5177,82016,77,11
8/2/2020,190739,19737,10515,39638,,345,5188,82029,25,3
8/3/2020,191295,19779,10515,39638,,384,5198,82166,142,29
8/4/2020,192334,19790,10506,39645,,388,5162,82318,139,21
8/5/2020,194029,19799,10506,39645,,384,5148,82460,137,15
8/6/2020,195633,19806,10506,39645,,390,5060,82670,141,21
8/7/2020,197921,19818,10506,39645,,383,5011,82836,136,20
8/8/2020,200105,19800,10506,39645,,366,4981,82881,73,12
8/9/2020,201990,19800,10506,39645,,368,4992,82886,14,4
8/10/2020,202775,19834,10506,39645,,396,5045,83047,180,28
8/11/2020,204172,19849,10505,39744,,391,5012,83237,191,21
8/12/2020,206696,19866,10505,39744,,379,4891,83472,143,17
8/13/2020,209365,19883,10505,39744,,374,4864,83663,201,25
8/14/2020,212211,19901,10505,39744,,367,4828,83848,173,20
8/15/2020,215521,19904,10505,39744,,353,4817,83880,87,15
8/16/2020,218536,19905,10505,39744,,376,4860,83921,33,2
8/17/2020,219029,19924,10505,39744,,384,4925,84065,234,34
8/18/2020,221267,19940,10511,39930,,380,4823,84309,185,28
8/19/2020,225043,19957,10511,39930,,374,4806,84467,162,31
8/20/2020,229814,19969,10511,39930,,380,4748,84642,149,28
8/21/2020,234400,19992,10511,39930,,379,4745,84829,210,37
8/22/2020,238002,20001,10511,39930,,380,4711,84950,115,10
8/23/2020,242899,20002,10511,39930,,383,4709,84973,29,6
8/24/2020,244854,20017,10511,39930,,399,4690,85199,233,43
8/25/2020,248158,20038,10506,40043,,410,4600,85524,265,49
8/26/2020,253587,20034,10506,40043,,373,4535,85731,215,21
8/27/2020,259698,20070,10506,40043,,381,4535,85984,225,32
8/28/2020,267077,20089,10507,40083,,387,4535,86177,241,32
8/29/2020,272530,20095,10507,40083,,400,4530,86298,135,28
8/30/2020,277943,20099,10507,40083,,402,4535,86310,23,5
8/31/2020,281025,20128,10507,40083,,409,4582,86469,254,45
9/1/2020,286007,20147,10514,40300,,424,4604,86712,300,54
9/2/2020,293024,20172,10514,40300,,446,4632,86963,317,57
9/3/2020,300181,20192,10514,40300,,464,4643,87206,307,55
9/4/2020,309156,20210,10476,40300,,473,4671,87447,292,46
9/5/2020,317706,20222,10476,40300,,482,4839,87579,168,23
9/6/2020,324777,20225,10476,40300,,486,4905,87608,66,8
9/7/2020,328980,20250,10476,40300,,537,4907,87836,448,83
9/8/2020,335524,20289,10475,40876,,574,4960,88226,490,86
9/9/2020,344101,20319,10475,40876,,599,5003,88524,386,71
9/10/2020,353944,20338,10475,40876,,615,5096,88742,352,54
9/11/2020,363350,20378,10515,41389,,635,5155,89059,447,64
9/12/2020,373911,20395,10515,41389,,662,5195,89231,243,51
9/13/2020,381094,20401,10515,41389,,669,5247,89270,98,18
9/14/2020,387252,20435,10515,41389,,712,5498,89507,545,104
9/15/2020,395104,20471,10528,42047,,759,5679,89891,642,117
9/16/2020,404888,20517,10528,42047,,803,5819,90335,649,100
9/17/2020,415481,20567,10528,42047,,800,5844,90840,599,81
9/18/2020,428696,20689,10560,42699,,827,5819,91574,850,100
9/19/2020,442194,20714,10560,42699,,834,5512,92319,470,73
9/20/2020,452763,20725,10560,42699,,841,5375,92582,139,24
9/21/2020,458061,20778,10560,42699,,919,5616,93008,754,143
9/22/2020,468069,20845,10571,43555,,951,5796,93538,783,130
9/23/2020,481141,20888,10571,43555,,1002,5932,93982,649,124
9/24/2020,497237,20940,10571,43555,,1048,6031,94413,613,124
9/25/2020,513034,20995,10666,44471,,1098,6128,94891,661,129
9/26/2020,527446,21034,10666,44471,,1111,6172,95303,503,89
9/27/2020,538569,21061,10666,44471,,1118,6253,95426,241,47
9/28/2020,542639,21142,10666,44471,,1164,6415,95774,619,137
9/29/2020,550690,21201,10692,45090,,1204,6500,96327,698,165
9/30/2020,563535,21264,10692,45090,,1238,6590,96797,650,135
10/1/2020,577505,21327,10692,45090,,1265,6652,97271,626,142
10/2/2020,589653,21374,10781,45701,,1276,6758,97778,721,120
10/3/2020,606625,21417,10781,45701,,1295,6758,98230,532,103
10/4/2020,619190,21449,10781,45701,,1341,6982,98374,418,91
10/5/2020,624274,21518,10781,45701,,1415,7294,98680,710,152
10/6/2020,634763,21580,10785,46520,,1426,7398,99295,829,168
10/7/2020,653509,21660,10785,46520,,1416,7536,99793,789,143
10/8/2020,671638,21736,10785,46520,,1427,7624,100306,711,114
10/9/2020,691977,21798,10832,47549,,1448,7864,100828,848,150
10/10/2020,718873,21852,10832,47549,,1465,7997,101311,694,110
10/11/2020,734974,21898,10832,47549,,1492,8252,101491,503,73
10/12/2020,743479,21993,10832,47549,,1548,8692,101899,916,171
10/13/2020,756472,22077,10856,48845,,1642,8949,102680,1168,226
10/14/2020,779063,22181,10856,48845,,1673,9194,103413,1133,193
10/15/2020,809684,22269,10856,48845,,1750,9605,104082,1207,219
10/16/2020,834770,22391,10912,48845,,1800,10042,104696,1225,212
10/17/2020,867197,22480,10912,48845,,1877,10420,105194,986,175
10/18/2020,897034,22565,10912,48845,,1948,10918,105431,835,147
10/19/2020,910277,22711,10912,48845,,2099,11661,105935,1424,269
10/20/2020,930745,22873,11012,53385,,2177,12458,106839,1944,278
10/21/2020,957421,23036,11012,53385,,2248,13185,107652,1754,284
10/22/2020,999043,23198,11012,53385,,2319,14032,108599,1998,262
10/23/2020,1041075,23382,11126,57261,,2441,15008,109486,2091,299
10/24/2020,1086497,23519,11126,57261,,2500,15660,110322,2500,233
10/25/2020,1138507,23635,11126,57261,,2584,16477,110660,1298,191
10/26/2020,1165278,23892,11126,57261,,2770,17784,111347,2314,357
10/27/2020,1198695,24180,11361,62297,,2918,18978,112716,2988,431
10/28/2020,1235132,24424,11361,62297,,3045,20207,113977,2821,372
10/29/2020,1282769,24659,11361,62297,,3156,21183,115287,2607,395
10/30/2020,1331984,24914,11651,68349,,3377,22176,116533,2563,422
10/31/2020,1367625,25137,11651,68349,,3452,23036,117658,2274,339
11/1/2020,1413915,25368,11651,68349,,3578,24031,118227,1883,289
11/2/2020,1466433,25784,11651,68349,,3730,25143,119104,2547,430
11/3/2020,1502763,26210,12079,73958,,3878,26265,120714,3311,469
11/4/2020,1543321,26595,12079,73958,,4089,27534,122662,3681,540
11/5/2020,1601367,26958,12079,73958,,4230,28426,124278,2989,447
11/6/2020,1661853,27356,12509,80369,,4331,28979,126329,3140,434
11/7/2020,1748705,27660,12509,80369,,4421,29421,127938,2458,394
11/8/2020,1787324,27930,12509,80369,,4539,30243,128614,1814,323
11/9/2020,1807479,28478,12509,80369,,4690,31125,129735,2670,484
11/10/2020,1829659,28944,13263,87932,,4750,31505,131920,3169,473
11/11/2020,1865538,29272,13263,87932,,4803,31946,133696,2588,351
11/12/2020,1898710,29697,13263,87932,,4899,32683,134954,2366,386
11/13/2020,1922504,30153,13739,94240,,4903,32707,137155,2830,471
11/14/2020,1954599,30507,13739,94240,,4871,32499,139140,2194,326
11/15/2020,1981827,30809,13739,94240,,4896,33081,139810,2194,270
11/16/2020,1991233,31315,13739,94240,,4919,33497,140880,2064,366
11/17/2020,2036755,31743,14530,101482,,4854,33170,143152,2505,382
11/18/2020,2065138,32168,14530,101482,,4775,32842,145391,2428,357
11/19/2020,2086288,32597,14530,101482,,4653,32345,147569,2213,311
11/20/2020,2109170,32978,15287,107460,,4582,31906,149521,1962,263
11/21/2020,2127051,33231,15287,107460,,4509,31197,151177,1509,219
11/22/2020,2140208,33445,15287,107460,,4509,31554,151681,904,171
11/23/2020,2144660,33945,15287,107460,,4454,31481,152592,1377,243
11/24/2020,2153815,34399,15838,112080,,4289,30622,154679,1781,269
11/25/2020,2170097,34780,15838,112080,,4148,29972,156552,1674,257
11/26/2020,2183660,35119,15838,112080,,4018,29310,158236,1459,192
11/27/2020,2196119,35512,16402,116240,,3883,28648,159915,1468,206
11/28/2020,2208699,35725,16402,116240,,3777,28168,161137,973,122
11/29/2020,2218483,35923,16402,116240,,3756,28313,161427,650,102
11/30/2020,2222488,36329,16402,116240,,3751,28258,162281,1251,196
12/1/2020,2230571,36692,16814,119716,,3605,27639,164029,1572,234
12/2/2020,2244635,37002,16814,119716,,3488,27013,165563,1252,160
12/3/2020,2257331,37326,16814,119716,,3425,26703,166940,1448,184
12/4/2020,2268552,37608,17159,123298,,3293,26311,168352,1399,163
12/5/2020,2281475,37822,17159,123298,,3230,26070,169358,1017,125
12/6/2020,2292497,37996,17159,123298,,3220,26293,169586,625,101
12/7/2020,2295908,38362,17159,123298,,3198,26365,170285,1200,202
12/8/2020,2309621,38739,17613,126828,,3088,25914,171868,1587,214
12/9/2020,2324216,39035,17613,126828,,3041,25558,173247,1372,170
12/10/2020,2337966,39327,17613,126828,,2959,25231,174658,1440,191
12/11/2020,2351372,39631,17936,129501,,2884,24975,175891,1334,180
12/12/2020,2365319,39825,17936,129501,,2861,24980,176743,1096,127
12/13/2020,2376852,39975,17936,129501,,2871,25239,176995,668,89
12/14/2020,2379915,40346,17936,129501,,2906,25481,177647,1316,209
12/15/2020,2391447,40653,18419,133545,,2881,25240,179087,1560,211
12/16/2020,2409062,40942,18419,133545,,2850,25315,180311,1659,219
12/17/2020,2427316,41200,18419,133545,,2808,25182,181506,1362,151
12/18/2020,2442990,41455,18774,137358,,2773,24977,182656,1281,176
12/19/2020,2460555,41644,18774,137358,,2727,24851,183571,1003,123
12/20/2020,2473354,41775,18774,137358,,2754,24993,183806,599,91
12/21/2020,2479151,42126,18774,137358,,2746,25233,184464,1284,179
12/22/2020,2490946,42507,19195,140766,,2728,24964,186058,1776,256
12/23/2020,2505875,42783,19195,140766,,2710,24884,187272,1421,200
