Datetime,reg,tx_pos,tx_incid,TO,R,hosp,rea,rad,dchosp,reg_rea,incid_hosp,incid_rea,incid_rad,incid_dchosp,reg_incid_rea,pos,pos_7j,cv_dose1
2020-03-31,1,,,0.24338624314285712,,16.714285714285715,6.571428571428571,4.642857142857143,0.9285714285714286,6.571428571428571,4.769230769230769,1.6153846153846154,1.4615384615384615,0.38461538461538464,1.6153846153846154,,,
2020-03-31,2,,,0.3571428569285714,,32.0,9.285714285714286,8.428571428571429,1.4285714285714286,9.285714285714286,5.615384615384615,1.3076923076923077,1.5384615384615385,0.15384615384615385,1.3076923076923077,,,
2020-03-31,3,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-31,4,,,0.054945054785714285,,14.642857142857142,2.857142857142857,1.5,0.0,2.857142857142857,5.0,0.38461538461538464,0.7692307692307693,0.0,0.38461538461538464,,,
2020-03-31,6,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-31,11,,,0.9316228671428571,,542.2142857142857,132.69642857142858,147.33035714285714,52.92857142857143,1061.5714285714287,115.72115384615384,22.807692307692307,27.596153846153847,11.125,182.46153846153845,,,
2020-03-31,24,,,0.3154761902857143,,32.333333333333336,9.44047619047619,6.904761904761905,3.238095238095238,56.642857142857146,8.73076923076923,2.0256410256410255,1.564102564102564,0.7692307692307693,12.153846153846153,,,
2020-03-31,27,,,0.6868686869285714,,68.16071428571429,16.767857142857142,39.080357142857146,11.901785714285714,134.14285714285714,16.48076923076923,2.644230769230769,6.528846153846154,2.019230769230769,21.153846153846153,,,
2020-03-31,28,,,0.26994047614285716,,47.92857142857143,12.814285714285715,10.871428571428572,3.9571428571428573,64.07142857142857,11.169230769230769,3.076923076923077,2.292307692307692,0.9230769230769231,15.384615384615385,,,
2020-03-31,32,,,0.5518590998571428,,161.42857142857142,48.07142857142857,60.628571428571426,25.714285714285715,240.35714285714286,36.10769230769231,8.23076923076923,10.446153846153846,4.123076923076923,41.15384615384615,,,
2020-03-31,44,,,1.1703533025000001,,252.89285714285714,54.06428571428572,78.81428571428572,49.24285714285714,540.6428571428571,48.23076923076923,8.792307692307693,12.492307692307692,7.1923076923076925,87.92307692307692,,,
2020-03-31,52,,,0.321231255,,50.55714285714286,11.514285714285714,23.114285714285714,4.585714285714285,57.57142857142857,12.861538461538462,2.6923076923076925,3.6307692307692307,1.1076923076923078,13.461538461538462,,,
2020-03-31,53,,,0.25044091721428574,,42.982142857142854,10.125,26.5,6.642857142857143,40.5,9.692307692307692,2.1153846153846154,3.25,0.8461538461538461,8.461538461538462,,,
2020-03-31,75,,,0.20561719842857143,,26.601190476190474,7.023809523809524,10.714285714285714,2.4404761904761907,84.28571428571429,7.769230769230769,1.7564102564102564,2.3076923076923075,0.5576923076923077,21.076923076923077,,,
2020-03-31,76,,,0.30560578664285715,,35.53846153846154,11.137362637362637,14.967032967032967,3.5274725274725274,144.78571428571428,8.218934911242604,2.2485207100591715,2.4142011834319526,0.5325443786982249,29.23076923076923,,,
2020-03-31,84,,,0.4838998211428571,,102.07738095238095,22.44047619047619,36.529761904761905,10.05952380952381,269.2857142857143,23.71794871794872,5.102564102564102,6.0256410256410255,1.8717948717948718,61.23076923076923,,,
2020-03-31,93,,,0.32049689435714285,,107.72619047619048,24.452380952380953,83.53571428571429,6.285714285714286,146.71428571428572,25.358974358974358,4.333333333333333,9.551282051282051,1.2307692307692308,26.0,,,
2020-03-31,94,,,0.7539682539285714,,36.285714285714285,6.214285714285714,26.035714285714285,5.642857142857143,12.428571428571429,9.692307692307692,1.2692307692307692,4.115384615384615,0.7692307692307693,2.5384615384615383,,,
2020-04-30,1,,,0.5666666668,,31.233333333333334,15.3,54.86666666666667,10.7,15.3,2.033333333333333,0.8,1.9666666666666666,0.4,0.8,,,
2020-04-30,2,,,0.5448717948666667,,40.733333333333334,14.166666666666666,52.333333333333336,7.966666666666667,14.166666666666666,1.2666666666666666,0.3333333333333333,1.9666666666666666,0.4,0.3333333333333333,,,
2020-04-30,3,,,0.05897435903333334,,6.566666666666666,0.7666666666666667,20.5,0.3333333333333333,0.7666666666666667,1.4,0.1,1.2666666666666666,0.03333333333333333,0.1,,,
2020-04-30,4,,,0.05064102553333334,,24.866666666666667,2.6333333333333333,74.66666666666667,0.0,2.6333333333333333,1.6,0.16666666666666666,3.3333333333333335,0.0,0.16666666666666666,,,
2020-04-30,6,,,0.6277777778333333,,21.666666666666668,3.7666666666666666,38.13333333333333,3.8666666666666667,3.7666666666666666,4.233333333333333,0.26666666666666666,3.066666666666667,0.2,0.26666666666666666,,,
2020-04-30,11,,,1.9835803545,,1500.0625,284.5625,1344.9291666666666,502.1875,2276.5,100.38333333333334,15.779166666666667,63.766666666666666,20.5625,126.23333333333333,,,
2020-04-30,24,,,0.9487037036999999,,149.46666666666667,28.494444444444444,117.78333333333333,40.15,170.96666666666667,11.183333333333334,1.55,6.277777777777778,1.8555555555555556,9.3,,,
2020-04-30,27,,,1.2530303030333334,,154.15,31.0125,200.775,71.64166666666667,248.1,12.1625,1.6625,8.166666666666666,2.6375,13.3,,,
2020-04-30,28,,,0.681111111,,131.55333333333334,32.68666666666667,133.95333333333335,45.76,163.43333333333334,9.28,1.5466666666666666,6.3133333333333335,1.94,7.733333333333333,,,
2020-04-30,32,,,1.1154490106666666,,469.8066666666667,97.78666666666666,489.93333333333334,187.22,488.93333333333334,38.04,4.806666666666667,24.32,7.533333333333333,24.033333333333335,,,
